Name,Age,Gender,Educational Background,Physical Traits,Personality Traits,Creative Expression,Problem Solving,LeaderShip and Managment,Communication ,Helping Others,Hard Skills,Soft Skills,Preffred Work mode,Comfortable with Technology (1-5),Stress Tolerance (1-5),Open to Relocation (Yes/No),Preferred Work Environment,Certifications (Yes/No),Predicted Career,Predicted Degree,Predicted University,
Ivan,20,Female,Diploma,Sedentary,"Analytical, Curious, Detail-Oriented",Music,Physics,Business  ,Digital Content Creation  ,Healthcare,Writing,Communication,Remote,1,1,No,No preference,No,Photographer,Diploma Photography,FAST-NUCES,
Hannah,21,Male,Diploma,Sedentary,"Adventurous, Detail-Oriented, Empathetic",Photography,Mathematics,Team Leadership  ,Journalism  ,Non-profit Work,Graphic Design,Teamwork,Remote,4,1,No,No preference,No,Social Worker,BA Social Work,QAU Islamabad,
Bob,16,Other,Undergraduate,Moderately Active,"Practical, Patient, Curious",Writing,Physics,Organizational Strategy  ,Public Relations  ,Non-profit Work,Graphic Design,Teamwork,On-site,4,3,No,Outdoor,Yes,Software Engineer,BSc Computer Science,NUST,
Julia,17,Female,Matric,Moderately Active,"Adventurous, Empathetic, Detail-Oriented",Photography,Physics,Finance  ,Social Media Management  ,Non-profit Work,Writing,Teamwork,Remote,5,5,No,Indoor,Yes,Psychologist,BSc Psychology,LUMS,
Julia,21,Male,Matric,Moderately Active,"Organized, Analytical, Practical",Music,Engineering,Marketing and Branding  ,Broadcasting  ,Healthcare,Data Analysis,Teamwork,On-site,1,3,No,Outdoor,Yes,Mechanical Engineer,BEng Mechanical,IBA Karachi,
Fiona,17,Other,FSc,Active,"Detail-Oriented, Curious, Analytical",Music,Mathematics,Business  ,Digital Content Creation  ,Social Work,Graphic Design,Leadership,Remote,3,3,No,Indoor,Yes,Nurse,BSc Nursing,LUMS,
Charlie,21,Male,Diploma,Active,"Empathetic, Assertive, Analytical",Music,Data Analysis,Team Leadership  ,Journalism  ,Education,Data Analysis,Leadership,Hybrid,5,5,No,Outdoor,No,Graphic Designer,BA Graphic Design,GIKI,
George,19,Female,FSc,Sedentary,"Empathetic, Detail-Oriented, Patient",Writing,Engineering,Organizational Strategy  ,Public Relations  ,Healthcare,Writing,Problem-Solving,On-site,1,1,Yes,Outdoor,Yes,Mechanical Engineer,BEng Mechanical,University of the Punjab,
Charlie,22,Male,Matric,Active,"Analytical, Curious, Practical",Photography,Physics,Finance  ,Social Media Management  ,Non-profit Work,Writing,Teamwork,Hybrid,5,3,Yes,Outdoor,Yes,Data Scientist,BSc Data Science,University of the Punjab,
Fiona,21,Other,FSc,Sedentary,"Assertive, Organized, Adventurous",Design,Mathematics,Marketing and Branding  ,Broadcasting  ,Healthcare,Programming,Adaptability,Hybrid,2,5,No,No preference,Yes,Photographer,Diploma Photography,IBA Karachi,
Hannah,17,Other,Matric,Moderately Active,"Patient, Practical, Organized",Design,Engineering,Business  ,Digital Content Creation  ,Healthcare,Programming,Problem-Solving,Hybrid,3,1,No,Outdoor,Yes,Psychologist,BSc Psychology,FAST-NUCES,
Diana,18,Other,Diploma,Moderately Active,"Curious, Organized, Practical",Design,Mathematics,Team Leadership  ,Journalism  ,Counseling,Programming,Leadership,Hybrid,4,1,Yes,No preference,Yes,Software Engineer,BSc Computer Science,IBA Karachi,
Hannah,19,Male,Diploma,Sedentary,"Patient, Organized, Curious",Photography,Engineering,Organizational Strategy  ,Public Relations  ,Counseling,Writing,Problem-Solving,On-site,1,2,Yes,Outdoor,No,Graphic Designer,BA Graphic Design,UET Lahore,
Alice,22,Male,FSc,Moderately Active,"Patient, Creative, Detail-Oriented",Music,Engineering,Finance  ,Social Media Management  ,Non-profit Work,Writing,Teamwork,On-site,3,1,No,No preference,No,Data Scientist,BSc Data Science,FAST-NUCES,
Diana,16,Female,Diploma,Sedentary,"Creative, Patient, Curious",Design,Physics,Marketing and Branding  ,Broadcasting  ,Healthcare,Programming,Adaptability,Remote,4,4,No,No preference,Yes,Software Engineer,BSc Computer Science,LUMS,
Ethan,21,Male,FSc,Sedentary,"Assertive, Adventurous, Practical",Music,Data Analysis,Business  ,Digital Content Creation  ,Healthcare,Writing,Communication,On-site,4,2,No,Indoor,No,Mechanical Engineer,BEng Mechanical,Aga Khan University,
Fiona,20,Male,Undergraduate,Active,"Adventurous, Detail-Oriented, Assertive",Design,Programming,Team Leadership  ,Journalism  ,Social Work,Graphic Design,Problem-Solving,On-site,5,3,Yes,Indoor,No,Mechanical Engineer,BEng Mechanical,University of the Punjab,
Bob,19,Other,Undergraduate,Sedentary,"Empathetic, Organized, Patient",Photography,Engineering,Organizational Strategy  ,Public Relations  ,Counseling,Programming,Leadership,On-site,2,1,Yes,Outdoor,Yes,Photographer,Diploma Photography,NUST,
Charlie,16,Female,Undergraduate,Sedentary,"Adventurous, Creative, Curious",Design,Programming,Finance  ,Social Media Management  ,Social Work,Writing,Teamwork,Hybrid,2,2,No,Outdoor,Yes,Mechanical Engineer,BEng Mechanical,QAU Islamabad,
Bob,17,Female,Diploma,Moderately Active,"Detail-Oriented, Practical, Creative",Photography,Data Analysis,Marketing and Branding  ,Broadcasting  ,Non-profit Work,Writing,Problem-Solving,Hybrid,1,2,Yes,Outdoor,Yes,Data Scientist,BSc Data Science,FAST-NUCES,
Bob,16,Female,Diploma,Sedentary,"Curious, Practical, Analytical",Music,Programming,Business  ,Digital Content Creation  ,Healthcare,Data Analysis,Leadership,Remote,4,5,No,Outdoor,Yes,Psychologist,BSc Psychology,GIKI,
Fiona,20,Female,Matric,Moderately Active,"Adventurous, Analytical, Organized",Music,Engineering,Team Leadership  ,Journalism  ,Social Work,Writing,Communication,Hybrid,5,5,No,Outdoor,Yes,Teacher,BEd,IBA Karachi,
Bob,18,Male,Undergraduate,Active,"Practical, Analytical, Detail-Oriented",Design,Programming,Organizational Strategy  ,Public Relations  ,Education,Writing,Problem-Solving,On-site,4,2,No,Indoor,Yes,Psychologist,BSc Psychology,UET Lahore,
Hannah,20,Male,Undergraduate,Active,"Assertive, Patient, Analytical",Writing,Engineering,Finance  ,Social Media Management  ,Social Work,Data Analysis,Communication,Hybrid,5,2,No,No preference,No,Journalist,BA Journalism,LUMS,
Julia,16,Female,FSc,Active,"Empathetic, Practical, Detail-Oriented",Photography,Engineering,Marketing and Branding  ,Broadcasting  ,Education,Graphic Design,Teamwork,Remote,2,3,No,No preference,Yes,Psychologist,BSc Psychology,LUMS,
Diana,19,Female,Matric,Moderately Active,"Creative, Assertive, Detail-Oriented",Music,Data Analysis,Business  ,Digital Content Creation  ,Education,Project Management,Problem-Solving,On-site,4,4,No,Indoor,No,Software Engineer,BSc Computer Science,GIKI,
George,22,Male,Diploma,Moderately Active,"Detail-Oriented, Organized, Assertive",Photography,Programming,Team Leadership  ,Journalism  ,Non-profit Work,Graphic Design,Adaptability,On-site,3,1,No,Indoor,Yes,Graphic Designer,BA Graphic Design,FAST-NUCES,
Charlie,19,Female,Undergraduate,Moderately Active,"Empathetic, Curious, Analytical",Photography,Engineering,Organizational Strategy  ,Public Relations  ,Counseling,Project Management,Teamwork,Remote,5,1,No,Outdoor,No,Software Engineer,BSc Computer Science,GIKI,
George,22,Male,Diploma,Sedentary,"Organized, Patient, Practical",Design,Physics,Finance  ,Social Media Management  ,Social Work,Graphic Design,Communication,Remote,3,4,No,No preference,Yes,Social Worker,BA Social Work,University of the Punjab,
Ivan,21,Male,Matric,Active,"Empathetic, Analytical, Assertive",Writing,Engineering,Marketing and Branding  ,Broadcasting  ,Non-profit Work,Writing,Adaptability,On-site,4,1,Yes,Indoor,Yes,Teacher,BEd,NUST,
Ethan,21,Male,Diploma,Active,"Assertive, Analytical, Organized",Music,Programming,Business  ,Digital Content Creation  ,Social Work,Graphic Design,Problem-Solving,Hybrid,3,2,Yes,Outdoor,Yes,Nurse,BSc Nursing,QAU Islamabad,
Charlie,16,Male,Undergraduate,Sedentary,"Creative, Organized, Assertive",Music,Engineering,Team Leadership  ,Journalism  ,Non-profit Work,Writing,Adaptability,On-site,4,3,No,Outdoor,No,Social Worker,BA Social Work,LUMS,
Diana,18,Male,Diploma,Moderately Active,"Assertive, Detail-Oriented, Curious",Design,Data Analysis,Organizational Strategy  ,Public Relations  ,Education,Project Management,Teamwork,Hybrid,1,3,No,No preference,No,Psychologist,BSc Psychology,UET Lahore,
Fiona,17,Female,Diploma,Moderately Active,"Assertive, Creative, Patient",Design,Programming,Finance  ,Social Media Management  ,Counseling,Writing,Problem-Solving,Hybrid,2,3,No,Indoor,No,Psychologist,BSc Psychology,University of the Punjab,
Ethan,18,Male,Undergraduate,Moderately Active,"Patient, Adventurous, Practical",Music,Physics,Marketing and Branding  ,Broadcasting  ,Education,Data Analysis,Adaptability,Hybrid,1,1,Yes,Outdoor,Yes,Social Worker,BA Social Work,NUST,
George,20,Female,Diploma,Moderately Active,"Adventurous, Detail-Oriented, Creative",Photography,Data Analysis,Business  ,Digital Content Creation  ,Counseling,Project Management,Adaptability,Remote,2,5,No,Indoor,Yes,Data Scientist,BSc Data Science,UET Lahore,
Hannah,19,Other,Diploma,Moderately Active,"Practical, Curious, Creative",Photography,Physics,Team Leadership  ,Journalism  ,Non-profit Work,Graphic Design,Leadership,Remote,5,3,No,Indoor,Yes,Software Engineer,BSc Computer Science,COMSATS,
Julia,17,Male,Matric,Sedentary,"Curious, Creative, Patient",Design,Data Analysis,Organizational Strategy  ,Public Relations  ,Education,Graphic Design,Problem-Solving,On-site,5,2,Yes,No preference,Yes,Graphic Designer,BA Graphic Design,University of the Punjab,
Ethan,22,Other,FSc,Sedentary,"Empathetic, Practical, Organized",Music,Mathematics,Finance  ,Social Media Management  ,Non-profit Work,Programming,Adaptability,On-site,1,1,No,Outdoor,No,Teacher,BEd,FAST-NUCES,
Fiona,17,Female,Undergraduate,Moderately Active,"Organized, Adventurous, Practical",Writing,Physics,Marketing and Branding  ,Broadcasting  ,Healthcare,Programming,Communication,Hybrid,3,4,No,Indoor,Yes,Mechanical Engineer,BEng Mechanical,NUST,
Diana,21,Male,Diploma,Moderately Active,"Analytical, Practical, Adventurous",Design,Mathematics,Business  ,Digital Content Creation  ,Healthcare,Programming,Problem-Solving,Hybrid,1,1,Yes,Indoor,No,Nurse,BSc Nursing,NUST,
George,21,Female,FSc,Active,"Assertive, Adventurous, Organized",Writing,Programming,Team Leadership  ,Journalism  ,Education,Project Management,Communication,Remote,3,1,No,Outdoor,No,Graphic Designer,BA Graphic Design,UET Lahore,
Fiona,22,Female,FSc,Active,"Creative, Organized, Detail-Oriented",Writing,Programming,Organizational Strategy  ,Public Relations  ,Counseling,Data Analysis,Leadership,On-site,1,2,No,No preference,Yes,Data Scientist,BSc Data Science,Aga Khan University,
Fiona,20,Other,Diploma,Sedentary,"Analytical, Adventurous, Empathetic",Writing,Programming,Finance  ,Social Media Management  ,Education,Data Analysis,Leadership,Remote,4,5,Yes,Outdoor,No,Psychologist,BSc Psychology,UET Lahore,
Alice,21,Male,Diploma,Sedentary,"Detail-Oriented, Creative, Curious",Photography,Mathematics,Marketing and Branding  ,Broadcasting  ,Healthcare,Programming,Problem-Solving,On-site,5,1,Yes,Indoor,Yes,Graphic Designer,BA Graphic Design,University of the Punjab,
Ethan,17,Female,FSc,Active,"Patient, Detail-Oriented, Practical",Design,Mathematics,Business  ,Digital Content Creation  ,Counseling,Graphic Design,Leadership,On-site,1,1,Yes,No preference,No,Teacher,BEd,GIKI,
Fiona,16,Female,FSc,Active,"Adventurous, Creative, Empathetic",Music,Programming,Team Leadership  ,Journalism  ,Non-profit Work,Data Analysis,Communication,Hybrid,2,4,Yes,No preference,Yes,Photographer,Diploma Photography,COMSATS,
Charlie,16,Female,Diploma,Moderately Active,"Detail-Oriented, Adventurous, Analytical",Music,Programming,Organizational Strategy  ,Public Relations  ,Non-profit Work,Writing,Leadership,Hybrid,4,3,No,No preference,Yes,Journalist,BA Journalism,IBA Karachi,
Hannah,17,Other,Undergraduate,Active,"Creative, Patient, Empathetic",Music,Physics,Finance  ,Social Media Management  ,Education,Programming,Teamwork,On-site,4,1,No,No preference,No,Software Engineer,BSc Computer Science,GIKI,
Bob,20,Male,FSc,Active,"Adventurous, Detail-Oriented, Curious",Music,Mathematics,Marketing and Branding  ,Broadcasting  ,Healthcare,Graphic Design,Communication,Remote,2,5,No,Outdoor,No,Social Worker,BA Social Work,NUST,
Julia,16,Female,Undergraduate,Moderately Active,"Adventurous, Analytical, Empathetic",Writing,Engineering,Business  ,Digital Content Creation  ,Counseling,Data Analysis,Teamwork,Remote,1,5,Yes,Indoor,Yes,Mechanical Engineer,BEng Mechanical,UET Lahore,
Ethan,17,Female,FSc,Active,"Analytical, Patient, Adventurous",Photography,Data Analysis,Team Leadership  ,Journalism  ,Healthcare,Programming,Adaptability,On-site,4,5,No,No preference,No,Mechanical Engineer,BEng Mechanical,IBA Karachi,
Ivan,16,Other,Matric,Active,"Detail-Oriented, Creative, Empathetic",Writing,Programming,Organizational Strategy  ,Public Relations  ,Non-profit Work,Project Management,Leadership,On-site,4,1,Yes,Outdoor,Yes,Software Engineer,BSc Computer Science,UET Lahore,
Bob,19,Other,FSc,Sedentary,"Curious, Empathetic, Creative",Photography,Engineering,Finance  ,Social Media Management  ,Education,Writing,Leadership,Hybrid,1,5,Yes,No preference,Yes,Graphic Designer,BA Graphic Design,QAU Islamabad,
Diana,17,Female,Matric,Sedentary,"Curious, Creative, Practical",Photography,Physics,Marketing and Branding  ,Broadcasting  ,Non-profit Work,Graphic Design,Teamwork,Remote,4,2,No,Indoor,No,Psychologist,BSc Psychology,IBA Karachi,
George,17,Other,Undergraduate,Active,"Adventurous, Creative, Organized",Photography,Physics,Business  ,Digital Content Creation  ,Education,Graphic Design,Problem-Solving,Hybrid,2,3,No,No preference,Yes,Social Worker,BA Social Work,QAU Islamabad,
Hannah,18,Female,FSc,Moderately Active,"Curious, Detail-Oriented, Patient",Writing,Mathematics,Team Leadership  ,Journalism  ,Healthcare,Project Management,Teamwork,On-site,5,5,No,No preference,No,Social Worker,BA Social Work,FAST-NUCES,
George,21,Female,Undergraduate,Active,"Detail-Oriented, Patient, Creative",Design,Data Analysis,Organizational Strategy  ,Public Relations  ,Social Work,Data Analysis,Teamwork,Hybrid,4,1,Yes,Outdoor,No,Photographer,Diploma Photography,UET Lahore,
George,16,Other,FSc,Sedentary,"Creative, Organized, Practical",Photography,Engineering,Finance  ,Social Media Management  ,Education,Data Analysis,Teamwork,Hybrid,2,1,No,Outdoor,No,Graphic Designer,BA Graphic Design,University of the Punjab,
Bob,19,Female,Matric,Active,"Detail-Oriented, Practical, Adventurous",Writing,Programming,Marketing and Branding  ,Broadcasting  ,Non-profit Work,Data Analysis,Problem-Solving,On-site,1,3,Yes,No preference,Yes,Mechanical Engineer,BEng Mechanical,NUST,
Alice,16,Female,Matric,Sedentary,"Detail-Oriented, Organized, Assertive",Photography,Physics,Business  ,Digital Content Creation  ,Education,Graphic Design,Leadership,Remote,1,4,No,Outdoor,No,Nurse,BSc Nursing,Aga Khan University,
Fiona,20,Female,Undergraduate,Active,"Detail-Oriented, Patient, Empathetic",Writing,Programming,Team Leadership  ,Journalism  ,Education,Data Analysis,Leadership,On-site,4,5,No,Indoor,No,Nurse,BSc Nursing,COMSATS,
Charlie,20,Female,Matric,Sedentary,"Organized, Adventurous, Curious",Music,Physics,Organizational Strategy  ,Public Relations  ,Non-profit Work,Graphic Design,Teamwork,Hybrid,5,5,Yes,No preference,Yes,Journalist,BA Journalism,NUST,
Alice,22,Male,Undergraduate,Moderately Active,"Assertive, Empathetic, Analytical",Music,Mathematics,Finance  ,Social Media Management  ,Non-profit Work,Project Management,Teamwork,Remote,2,3,Yes,No preference,No,Psychologist,BSc Psychology,IBA Karachi,
Diana,22,Other,FSc,Moderately Active,"Assertive, Creative, Analytical",Design,Mathematics,Marketing and Branding  ,Broadcasting  ,Social Work,Writing,Problem-Solving,Hybrid,2,5,Yes,Outdoor,Yes,Data Scientist,BSc Data Science,GIKI,
Ethan,20,Female,Undergraduate,Moderately Active,"Analytical, Detail-Oriented, Creative",Photography,Physics,Business  ,Digital Content Creation  ,Education,Data Analysis,Problem-Solving,Remote,2,1,Yes,Indoor,No,Data Scientist,BSc Data Science,GIKI,
Ivan,19,Female,FSc,Active,"Analytical, Curious, Patient",Photography,Mathematics,Team Leadership  ,Journalism  ,Education,Data Analysis,Adaptability,Remote,2,4,No,No preference,Yes,Software Engineer,BSc Computer Science,NUST,
Ivan,16,Female,Matric,Moderately Active,"Detail-Oriented, Analytical, Patient",Writing,Engineering,Organizational Strategy  ,Public Relations  ,Education,Graphic Design,Communication,Remote,1,2,No,Outdoor,No,Nurse,BSc Nursing,UET Lahore,
Ethan,17,Female,Diploma,Moderately Active,"Detail-Oriented, Creative, Organized",Design,Data Analysis,Finance  ,Social Media Management  ,Healthcare,Programming,Leadership,On-site,1,3,Yes,Outdoor,Yes,Mechanical Engineer,BEng Mechanical,University of the Punjab,
Fiona,20,Male,Undergraduate,Active,"Practical, Detail-Oriented, Creative",Design,Physics,Marketing and Branding  ,Broadcasting  ,Non-profit Work,Data Analysis,Teamwork,On-site,1,2,No,Outdoor,No,Teacher,BEd,FAST-NUCES,
Ethan,19,Male,Diploma,Active,"Patient, Adventurous, Analytical",Music,Physics,Business  ,Digital Content Creation  ,Healthcare,Programming,Communication,Hybrid,4,1,Yes,Outdoor,Yes,Social Worker,BA Social Work,GIKI,
Ethan,19,Female,Matric,Active,"Practical, Patient, Organized",Music,Engineering,Team Leadership  ,Journalism  ,Healthcare,Data Analysis,Communication,On-site,3,2,No,No preference,Yes,Journalist,BA Journalism,GIKI,
Hannah,20,Female,Undergraduate,Moderately Active,"Patient, Assertive, Adventurous",Design,Physics,Organizational Strategy  ,Public Relations  ,Healthcare,Graphic Design,Leadership,Hybrid,4,1,Yes,Indoor,Yes,Graphic Designer,BA Graphic Design,COMSATS,
Fiona,21,Other,Undergraduate,Active,"Organized, Assertive, Adventurous",Design,Mathematics,Finance  ,Social Media Management  ,Healthcare,Project Management,Communication,Remote,2,2,Yes,No preference,No,Photographer,Diploma Photography,FAST-NUCES,
Julia,20,Other,Undergraduate,Moderately Active,"Patient, Adventurous, Curious",Writing,Physics,Marketing and Branding  ,Broadcasting  ,Education,Writing,Leadership,Remote,2,4,Yes,No preference,Yes,Social Worker,BA Social Work,University of the Punjab,
Ethan,20,Male,Undergraduate,Moderately Active,"Analytical, Practical, Curious",Photography,Engineering,Business  ,Digital Content Creation  ,Counseling,Project Management,Problem-Solving,On-site,2,1,No,Indoor,Yes,Psychologist,BSc Psychology,NUST,
George,18,Other,Diploma,Moderately Active,"Curious, Patient, Assertive",Design,Mathematics,Team Leadership  ,Journalism  ,Non-profit Work,Graphic Design,Adaptability,Hybrid,1,2,No,No preference,Yes,Journalist,BA Journalism,QAU Islamabad,
Charlie,16,Female,Matric,Moderately Active,"Curious, Empathetic, Assertive",Photography,Physics,Organizational Strategy  ,Public Relations  ,Social Work,Project Management,Adaptability,Hybrid,5,5,No,Outdoor,Yes,Teacher,BEd,QAU Islamabad,
George,20,Male,Diploma,Moderately Active,"Practical, Adventurous, Assertive",Writing,Programming,Finance  ,Social Media Management  ,Healthcare,Writing,Adaptability,On-site,1,3,Yes,Outdoor,No,Teacher,BEd,Aga Khan University,
Diana,21,Other,FSc,Active,"Patient, Assertive, Analytical",Writing,Physics,Marketing and Branding  ,Broadcasting  ,Education,Programming,Problem-Solving,Hybrid,2,4,Yes,Indoor,Yes,Social Worker,BA Social Work,QAU Islamabad,
Charlie,20,Male,Matric,Moderately Active,"Curious, Organized, Detail-Oriented",Photography,Programming,Business  ,Digital Content Creation  ,Healthcare,Writing,Communication,On-site,5,2,Yes,Indoor,No,Teacher,BEd,IBA Karachi,
Diana,20,Male,Matric,Moderately Active,"Patient, Curious, Detail-Oriented",Photography,Mathematics,Team Leadership  ,Journalism  ,Counseling,Programming,Leadership,Remote,2,1,No,Indoor,No,Psychologist,BSc Psychology,NUST,
Alice,22,Male,Matric,Moderately Active,"Patient, Practical, Creative",Writing,Data Analysis,Organizational Strategy  ,Public Relations  ,Healthcare,Graphic Design,Leadership,Hybrid,4,2,Yes,Indoor,Yes,Nurse,BSc Nursing,GIKI,
Charlie,19,Female,FSc,Active,"Patient, Empathetic, Detail-Oriented",Photography,Data Analysis,Finance  ,Social Media Management  ,Counseling,Programming,Leadership,Remote,4,4,Yes,Outdoor,No,Graphic Designer,BA Graphic Design,GIKI,
Diana,17,Male,Undergraduate,Moderately Active,"Detail-Oriented, Creative, Patient",Design,Programming,Marketing and Branding  ,Broadcasting  ,Healthcare,Graphic Design,Leadership,Remote,4,4,No,Outdoor,Yes,Nurse,BSc Nursing,GIKI,
Diana,19,Female,FSc,Sedentary,"Detail-Oriented, Patient, Analytical",Music,Mathematics,Business  ,Digital Content Creation  ,Counseling,Data Analysis,Communication,On-site,1,5,Yes,No preference,No,Photographer,Diploma Photography,Aga Khan University,
Ethan,16,Other,Matric,Moderately Active,"Curious, Creative, Patient",Music,Mathematics,Team Leadership  ,Journalism  ,Counseling,Writing,Teamwork,On-site,1,5,No,No preference,No,Teacher,BEd,UET Lahore,
Ivan,21,Other,Undergraduate,Moderately Active,"Organized, Adventurous, Creative",Music,Physics,Organizational Strategy  ,Public Relations  ,Education,Graphic Design,Adaptability,On-site,3,4,No,No preference,No,Nurse,BSc Nursing,LUMS,
Diana,19,Male,Diploma,Active,"Patient, Analytical, Practical",Writing,Mathematics,Finance  ,Social Media Management  ,Non-profit Work,Programming,Communication,On-site,3,3,Yes,Outdoor,No,Social Worker,BA Social Work,Aga Khan University,
Charlie,18,Male,Matric,Moderately Active,"Curious, Detail-Oriented, Practical",Writing,Data Analysis,Marketing and Branding  ,Broadcasting  ,Healthcare,Project Management,Teamwork,On-site,1,2,No,Outdoor,No,Graphic Designer,BA Graphic Design,IBA Karachi,
George,16,Male,Diploma,Sedentary,"Organized, Adventurous, Assertive",Photography,Mathematics,Business  ,Digital Content Creation  ,Non-profit Work,Graphic Design,Adaptability,On-site,4,1,Yes,Indoor,Yes,Teacher,BEd,University of the Punjab,
Alice,19,Female,Undergraduate,Sedentary,"Analytical, Organized, Empathetic",Photography,Engineering,Team Leadership  ,Journalism  ,Non-profit Work,Programming,Leadership,On-site,1,3,No,No preference,No,Psychologist,BSc Psychology,UET Lahore,
George,16,Female,Matric,Sedentary,"Patient, Creative, Practical",Design,Programming,Organizational Strategy  ,Public Relations  ,Social Work,Writing,Problem-Solving,Remote,3,4,Yes,Outdoor,Yes,Graphic Designer,BA Graphic Design,IBA Karachi,
Diana,16,Male,FSc,Sedentary,"Empathetic, Adventurous, Practical",Writing,Programming,Finance  ,Social Media Management  ,Non-profit Work,Project Management,Adaptability,On-site,5,1,No,Indoor,No,Psychologist,BSc Psychology,UET Lahore,
Ethan,22,Female,FSc,Active,"Creative, Curious, Adventurous",Photography,Mathematics,Marketing and Branding  ,Broadcasting  ,Non-profit Work,Writing,Adaptability,Hybrid,4,3,No,Indoor,Yes,Data Scientist,BSc Data Science,FAST-NUCES,
Ethan,22,Female,Undergraduate,Active,"Adventurous, Patient, Practical",Design,Mathematics,Business  ,Digital Content Creation  ,Counseling,Data Analysis,Adaptability,Hybrid,5,3,No,Outdoor,Yes,Journalist,BA Journalism,FAST-NUCES,
Fiona,20,Female,FSc,Sedentary,"Patient, Detail-Oriented, Assertive",Music,Engineering,Team Leadership  ,Journalism  ,Non-profit Work,Project Management,Communication,Hybrid,1,2,No,No preference,Yes,Photographer,Diploma Photography,UET Lahore,
Alice,16,Male,Matric,Sedentary,"Analytical, Empathetic, Detail-Oriented",Design,Physics,Organizational Strategy  ,Public Relations  ,Education,Programming,Adaptability,On-site,5,4,Yes,No preference,Yes,Teacher,BEd,QAU Islamabad,
Alice,20,Male,FSc,Sedentary,"Detail-Oriented, Assertive, Empathetic",Photography,Programming,Finance  ,Social Media Management  ,Healthcare,Writing,Adaptability,On-site,5,3,No,Outdoor,Yes,Journalist,BA Journalism,Aga Khan University,
Bob,20,Male,Diploma,Active,"Empathetic, Practical, Curious",Writing,Physics,Marketing and Branding  ,Broadcasting  ,Counseling,Project Management,Problem-Solving,Remote,4,5,Yes,Indoor,Yes,Graphic Designer,BA Graphic Design,IBA Karachi,
Ethan,21,Male,Undergraduate,Sedentary,"Adventurous, Empathetic, Curious",Design,Programming,Business  ,Digital Content Creation  ,Social Work,Programming,Communication,On-site,2,5,No,No preference,Yes,Psychologist,BSc Psychology,GIKI,
Ivan,20,Other,Matric,Moderately Active,"Empathetic, Creative, Patient",Photography,Programming,Team Leadership  ,Journalism  ,Non-profit Work,Writing,Adaptability,On-site,1,4,Yes,Indoor,Yes,Journalist,BA Journalism,NUST,
Ethan,19,Male,FSc,Moderately Active,"Patient, Detail-Oriented, Practical",Music,Programming,Organizational Strategy  ,Public Relations  ,Social Work,Graphic Design,Leadership,On-site,3,2,No,Outdoor,No,Nurse,BSc Nursing,LUMS,
Ethan,19,Female,Diploma,Active,"Empathetic, Patient, Practical",Design,Physics,Finance  ,Social Media Management  ,Counseling,Data Analysis,Problem-Solving,On-site,2,5,No,Indoor,No,Psychologist,BSc Psychology,COMSATS,
Alice,22,Male,FSc,Moderately Active,"Empathetic, Detail-Oriented, Practical",Photography,Engineering,Marketing and Branding  ,Broadcasting  ,Education,Graphic Design,Adaptability,On-site,5,3,Yes,Outdoor,Yes,Nurse,BSc Nursing,GIKI,
Hannah,17,Female,FSc,Sedentary,"Analytical, Empathetic, Organized",Photography,Physics,Business  ,Digital Content Creation  ,Counseling,Graphic Design,Teamwork,Hybrid,5,4,Yes,Indoor,No,Mechanical Engineer,BEng Mechanical,COMSATS,
Hannah,21,Other,FSc,Moderately Active,"Empathetic, Organized, Adventurous",Design,Mathematics,Team Leadership  ,Journalism  ,Non-profit Work,Programming,Adaptability,On-site,4,4,No,Outdoor,Yes,Data Scientist,BSc Data Science,COMSATS,
Ivan,16,Female,FSc,Active,"Organized, Practical, Empathetic",Design,Data Analysis,Organizational Strategy  ,Public Relations  ,Social Work,Graphic Design,Problem-Solving,On-site,5,5,No,No preference,No,Teacher,BEd,University of the Punjab,
Ivan,21,Female,Undergraduate,Sedentary,"Creative, Organized, Curious",Design,Physics,Finance  ,Social Media Management  ,Social Work,Programming,Adaptability,On-site,4,5,Yes,No preference,Yes,Social Worker,BA Social Work,IBA Karachi,
Fiona,17,Female,Undergraduate,Active,"Curious, Organized, Empathetic",Music,Data Analysis,Marketing and Branding  ,Broadcasting  ,Education,Programming,Teamwork,Remote,4,2,No,No preference,No,Nurse,BSc Nursing,LUMS,
Ivan,16,Other,Matric,Active,"Detail-Oriented, Patient, Curious",Design,Physics,Business  ,Digital Content Creation  ,Non-profit Work,Graphic Design,Adaptability,Remote,4,5,No,Outdoor,Yes,Social Worker,BA Social Work,COMSATS,
George,18,Male,Matric,Sedentary,"Organized, Empathetic, Creative",Music,Data Analysis,Team Leadership  ,Journal,Non-profit Work,Data Analysis,Problem-Solving,Remote,1,5,No,Indoor,Yes,Social Worker,BA Social Work,IBA Karachi,
George,22,Male,FSc,Sedentary,"Curious, Detail-Oriented, Adventurous",Music,Programming,Organizational Strategy  ,Journalism  ,Non-profit Work,Data Analysis,Adaptability,Hybrid,2,2,Yes,Outdoor,No,Psychologist,BSc Psychology,University of the Punjab,
Diana,18,Other,Diploma,Sedentary,"Analytical, Practical, Patient",Design,Data Analysis,Finance  ,Public Relations  ,Healthcare,Data Analysis,Problem-Solving,On-site,1,2,No,No preference,Yes,Nurse,BSc Nursing,FAST-NUCES,
